gene_id,185_026_T0,185_128_T0,185_037_T0,185_057_T0,185_071_T0,185_107_T0,185_184_T0,185_194_T0,PIM046_A1,PIM046_A2,PIM046_A3,PIM056_A1,PIM056_A2,PIM056_A3,185_002_T0,185_002_X0_P3,185_006_T0,185_006_X0_P3,185_014_T0,185_014_X0_P3,185_026_X0_P3,185_071_X0_P3,185_128_X0_P3,185_129_X0_P3,185_198_X0_P3,185_037_X0_P3,185_049_X0_P3,185_107_X0_P3,185_184_X0_P3,185_194_X0_P3
SLC39A12,11.54,0.93,0.38,1.61,0.82,1.58,3.46,2.19,2.29,2.82,4,0.46,0.13,0.24,0.05,0.04,0.44,0.8,0.52,0.79,0.29,0,0,0,0,1.32,4.77,6.12,2.78,3.85
SLC39A13,35.69,40.99,6.94,13.71,19.85,8.35,10.45,22.75,32.01,27.92,32.83,23.19,20.72,23.11,34.22,38.54,28.31,12.1,90.84,64.53,27,35.21,11.22,24.38,17.26,4.82,2.48,17.88,9.86,15.73
SLC39A14,29.2,102.45,11.76,61.26,47.63,46.9,31.3,170.58,12.61,20.22,23.87,131.76,170.64,171.07,48.11,42.54,23.83,15.84,165.97,184.3,29.69,22.35,48.12,73.42,9.38,1.63,31.58,43.37,34.82,153.35
SLC39A2,7.45,15.18,1.28,5.75,1.95,42.21,24.28,2.14,19.18,24.78,21.19,0.07,0,0.04,2.75,5.79,0,0.94,2,0.59,2.34,4.83,4.58,0,0.68,1.39,1.67,24.4,8.31,2.78
SLC39A3,19.02,21.05,6.84,5.07,7.75,4.91,6.83,11.87,23.02,20.33,19,49.68,42.64,44.05,33.64,50.56,54.11,31.75,34.84,33.59,48.13,19.3,0.35,19.65,4.31,9.8,1.55,6.53,11.78,6.88
SLC39A4,376.32,60.25,164.52,177.2,51.29,120.39,52.6,153.03,108.56,93.47,90.86,85.33,87.09,74.1,66.37,108.12,118.85,69.17,17.42,26.59,255.72,87.17,194.8,47.31,54.75,226.44,25.1,153.49,142.77,80.1
SLC39A5,0.1,0.3,0.34,0.05,0.1,1.22,0.13,0.03,0.05,0.08,0,0.05,0.06,0.06,0,0.1,0.11,0,0.22,0.06,0.06,0,0,3.42,0.11,0.11,0.51,1.6,0,0.39
SLC39A6,55.9,189.59,144.15,96.63,106.81,147.94,113.15,147.81,55.06,83.74,81.61,81.85,93.49,87.18,152.95,154.11,78.48,95.3,73.54,89.16,29,111.55,74.53,138.11,490.39,89.74,236.03,93.41,92.12,134.72
SLC39A7,77.9,39.15,44.43,38.2,39.54,28.68,26.26,55.38,152.27,180.96,184.08,245.53,193.18,226.88,262.38,289.44,195.69,88.8,308.37,300.2,341.29,39.64,49.62,57.35,29.25,37.29,13.72,35.23,13,25.09
SLC39A8,103.93,68.65,18.27,38.13,43.24,142.39,96.23,46.37,34.42,52.49,49.06,13.98,12.13,14.32,20.78,13.45,33.87,107.14,29.21,19.85,40.27,71.55,39.7,20.21,68.81,15.48,94.08,78.43,30.33,27.9
SLC39A9,28.16,40.76,32.54,24.1,31.01,17.65,12.4,15.79,28.27,36.19,35.11,38.76,38.84,38.71,41.38,36.88,46.91,48.8,65.4,68.29,50.73,27.04,9.01,20.29,24.87,25.9,11.45,15.27,8.75,19.32
SLC3A1,0.55,0.9,10.32,0.34,0.16,1.77,0.9,0.51,0,0.02,0.03,0,0.03,0.05,0.05,0,0.04,0.03,0.11,0,0.21,0.2,0.09,3.64,0.19,9.45,2.06,1.73,2.13,1.03
SLC3A2,203.72,184.55,154.04,101.16,115.71,124.84,117.43,183.98,418.09,617.33,485.45,413.74,362.73,414.14,274.72,280.73,139.93,109.22,185.95,186.11,220.19,250.94,97.42,123.83,196.04,154.32,89.36,241.02,135.58,146.24
SLC40A1,145.97,46.11,108.71,72.39,407.62,30.09,66.38,8.78,3.92,4.13,4.76,0.03,0.02,0.03,61.5,138.31,16.12,2.21,54.87,31.59,18.31,151.92,15.32,27.47,0.36,28.71,4.16,13.51,3.03,1.61
SLC41A1,13.03,27.47,5.06,6.52,8.22,5.04,9.8,8.34,3.09,6.49,6.36,16.04,21.76,15.27,27.47,22.62,29.06,30.56,32.99,30.03,25.88,8.53,5.37,19.03,4.88,5.14,6.07,4.31,14.5,11.14
SLC41A2,17.91,11.37,32.01,19.45,63.94,12.7,17.94,33.78,2.31,2.82,3.8,7.17,9.69,6.22,7.44,5.43,9.36,10.3,15.94,10.65,3.56,47.51,4.02,10.23,1.66,10.05,8.44,5.45,12.41,14.53
SLC41A3,71.51,61.67,48.62,74.01,62.45,71.1,120.98,79.8,21.27,26.16,27.26,37.37,32.49,37.09,36.06,53.27,67.02,73.99,32.06,32.32,49.5,41.36,71.13,41.86,42.53,17.12,45.56,25.1,78.07,56.51
SLC43A1,22.88,15.66,0.9,15.27,3.27,4.03,1.95,1.9,0.54,1.16,0.87,0.08,0.08,0.08,4.83,2.16,21.89,23.44,7.97,2.27,37.44,0.57,2.47,56.8,3.84,0.07,1.1,1.66,0.74,2.52
SLC43A2,14.25,10.47,5.73,4.59,6.56,2.28,3.17,3.98,4.98,5.46,6.45,20.95,19.59,20.2,8.32,8.17,12.29,1.61,18.72,19.35,29.67,6.39,1,1.14,1.84,2.94,0.63,2.76,1.14,2.16
SLC43A3,61.97,115.06,74.08,139.68,54.28,91.52,79.93,64.85,107.73,139.64,132.99,167.78,180.1,178.34,96.75,90.89,202.85,237.01,81.27,66.31,55.95,17.23,80.87,112.29,111.4,94.37,52.01,58.74,59.42,168.73
SLC44A1,62.83,91.31,57.75,82.16,146.86,104.25,99.9,106.45,14.07,25.31,26.17,47.23,53.3,50.95,62.37,67.41,83.5,74.91,81.36,70.83,41.31,82.14,36.49,55.02,139.93,23.48,56.85,46.07,69.4,139.03
SLC44A2,117.24,239.77,85.27,55.17,112.32,90.93,121.95,150.63,205.03,270.97,279.15,326.5,304.91,300.12,507.2,696.76,297.29,205.05,150.43,235.54,210.02,240.37,79.41,22.03,162.09,112.67,65.34,107.48,126.06,277.25
SLC44A3,18.29,22.66,44.59,20.39,16,28.1,10.9,20.65,32.23,30.78,33.54,15.86,15.17,13.71,6.81,1.74,11.66,13.88,6.83,7,3.96,17.39,11.35,65.26,55.18,24.7,3.38,16.85,3.72,11.22
SLC44A4,2.78,3.78,2.05,0.28,120.4,0.43,0.64,1.4,1.02,1.68,1.38,0,0.02,0.02,1.44,0.69,0.53,0.03,0.74,0.13,0.19,67.2,0.04,4.22,29.62,35.17,7.91,0.45,0.25,3.57
SLC44A5,8.17,11.76,1.14,0.17,3.16,1.13,2.55,2.15,1.58,1.92,2.09,0.04,0.02,0.01,0.09,2.53,0.69,0.18,1.02,0.79,1.85,5.69,8.66,118.89,0.41,2.89,1.38,2.01,0.45,0.62
SLC45A1,1.12,2.01,0.08,3.61,0.21,0.53,0.39,1.6,0.27,0.48,0.36,0.07,0.07,0.07,3.41,3.73,0.9,0.35,6.09,2.23,0.09,0.12,0.55,3.76,0.08,0.55,1.05,2.88,0.64,2.05
SLC45A2,0.58,0.13,1.31,0.27,0.13,3.29,0.98,0.45,0,0,0,0.09,0.02,0.04,0.5,0,0,0,0.66,0.4,0.77,0.89,0.06,51.32,0.06,2.54,6.47,21.94,11.3,1.98
SLC45A3,5.47,8.27,0.79,2.13,1.06,1.93,3.68,13.19,3.61,4.55,4.64,10.01,12.58,8.46,6.66,5.15,11.85,9.22,11.27,4.83,13.05,1.1,1.49,4.72,1.62,3.51,7.4,2.52,24.34,6.1
SLC45A4,45.87,10.87,14.97,9.03,5.52,2.47,4.07,6.82,9.94,11.92,13.77,7.49,7.31,8.23,7.02,7.58,123.36,54.77,13.82,12.41,25.6,7.61,1.94,2.18,6.69,11.49,2.93,6.71,5.99,11.54
SLC46A1,8.32,6.46,2.76,1.48,2.65,1.14,3.35,2.74,1.82,2.12,2.47,3.81,4.82,3.75,3.84,3.72,5.79,3.36,9.7,14.6,8.22,5.91,1.11,5.63,1.31,1.58,1.85,2.1,4.77,4.36
SLC46A2,0.3,0.18,0.24,0.06,0.94,0.08,0,0.04,0,0,0,0,0,0,0.05,0,0.16,0,0.31,0,0,0.2,0.24,0.31,0.08,0.43,0.28,1.12,0.25,0.97
SLC46A3,18.14,12.42,34.79,15.55,153.23,25.69,43.12,12.24,7.93,14.19,12.09,13.58,16.2,10.2,2.43,1.3,8.84,13.22,15.85,7.44,0.42,92.72,0,7.87,0.04,16.48,9.4,26.39,18.39,6.12
SLC47A1,4.24,1.58,1.19,0.65,1.53,1.25,0.32,1.04,0.02,0.06,0,0,0,0.05,0.8,1.41,1.35,0,0.33,0.4,0.04,0,0,2.39,0,0.19,0.51,0.67,0.9,0.83
SLC47A2,0,0.29,0.08,0.09,0.35,0.21,0.22,0.07,0,0,0.02,0,0,0,0.05,0,0,0,0,0,0,0,0,1.17,0,0.28,0.36,1.63,0.11,0.38
SLC48A1,50.17,16.75,13.93,11.13,16.58,17.53,16.11,10.07,12.61,13.39,14.64,18.36,14.75,13.99,14.58,13.25,14.25,7.92,18.79,17.74,46.6,19.6,3.05,12.08,7.33,9.54,2.69,6.74,12.85,8.04
SLC4A1,0.04,0.31,0.26,0.42,0.33,1.05,0.27,0.4,0.02,0.01,0,0.02,0,0,0.07,0.02,0.1,0.01,0.59,0,0.05,0,0,0,0,0.14,0.33,0.44,0.46,0.29
SLC4A10,0.29,0.26,0.42,1.32,1.51,0.55,0.13,0.16,0.01,0.01,0.03,0,0,0,0.22,0.12,0,0,0.23,0.26,0.04,0.02,0.02,34.75,0.02,0.71,1.1,1.32,1.11,0.41
SLC4A11,50.1,31.56,68.45,3.97,25.91,5.7,31.09,3.9,4.71,7.3,4.79,25.44,18.47,18.56,5.38,4.11,8.44,19.92,5.83,8.43,31.56,56.01,9.4,1.61,123.12,133.95,4.83,13.58,40.4,4.13
SLC4A1AP,65.47,136.28,128.02,105.29,127.98,128.98,94.49,140.1,13.15,19.38,19.26,37.91,39.3,39.04,26.58,25.27,22.24,22.31,19.17,14.88,20.51,138.92,305.85,205.16,125.65,60.71,56.38,62.53,45.71,112.88
SLC4A2,59.5,60.38,6.07,5.39,7.91,12.49,11.91,23.32,65.79,67.91,71.71,86.44,78.9,81.76,97.61,93.81,135.48,116.36,75.77,94.26,153.78,20.08,13.5,38.41,25.57,8.68,5.05,22.96,14.66,30.26
SLC4A3,7.6,17.81,2.68,3.29,2.42,1.81,9.42,7.67,1.09,1.25,1.21,8.65,9.19,7.66,58.07,61.09,16.16,8.84,15.52,15.24,6.53,8.34,6.67,18.79,2.24,3.08,2.93,2.45,9.47,7
SLC4A4,1.59,1.97,1.19,1.1,0.92,6.38,1.15,1.04,0.49,0.73,0.82,0.03,0.05,0.04,0.38,0.01,0.33,2.28,0.95,0.11,0.01,0.34,1.41,7.3,0.17,1.14,23.8,15.8,3.39,1.75
SLC4A5,7.59,6.44,1.35,1,4.98,1.28,2.23,2.48,0.26,0.28,0.33,0.21,0.33,0.43,1.97,2.67,0.88,0.19,1.59,1.47,3.36,3.32,0.76,9.4,4.23,2.7,1.76,4.89,1.75,7.31
SLC4A7,18.64,16.44,13.11,15.77,18.44,16.41,19.77,11.39,1.85,4.83,4.3,3.87,4.87,5.54,13.26,7.04,9.75,7.5,19.02,10.21,10.36,3.41,17.79,12.3,19.3,10.11,15.86,32.37,21.39,35.06
SLC4A8,7.89,2.69,4.36,1.05,13.78,1.6,0.88,1.84,0.02,0.01,0.02,0.04,0.11,0.14,1.1,0.52,0.97,0.97,2.17,1.54,0.32,21.38,0.03,123.07,0.14,3.3,1.48,7.64,3.32,2.27
SLC4A9,0.18,0.02,0.17,0.05,0.02,0.16,0.12,0.05,0,0,0,0,0.02,0.02,0.04,0,0,0,0.08,0.07,0.07,0.13,0,0.05,0.06,1.69,0.28,0.34,0.12,0.24
SLC50A1,51.26,75.7,142.53,54.34,83.3,83.99,36.14,85.16,187.55,181.78,205.15,150.51,191.37,124.29,71.16,87.07,107.46,129.82,54.24,89.21,58.2,103.34,14.84,40.07,55.48,81.87,14.85,73.2,57.05,56.55
SLC51A,1.22,1.56,8.45,1.12,5.04,0.24,1.66,0.23,0.25,0.39,0.14,0,0,0,0.17,0.07,0.61,0.96,0.44,0.08,0,1.49,0.85,0.11,0.88,5.18,1.23,0.61,0.09,0.67
SLC51B,0.23,0.15,0.4,0.24,0.08,2.17,1.12,0.25,0.12,0,0.05,0.11,0,0,0,0,0,0,0,0,0,0,0,8.86,0.12,0.3,2.61,5.06,2,1.23
SLC52A1,1.51,10.16,0,0.4,2.14,1.39,0.73,3.69,0.46,0.47,0.46,11.27,7.79,11.78,4.35,1.75,0.77,2.79,0.25,1.01,1,6.75,30.27,0.32,0.09,0.21,0.3,7.31,1.16,20.97
SLC52A2,126.91,30.5,60.27,32.39,14.88,26.2,17.96,75.28,136.82,124.14,124.89,161.47,138.47,152.97,91.1,107.13,263.18,138.94,37.19,34.56,272.99,41.31,10.35,14.76,18.78,66.76,7.35,26.45,29.59,47.72
SLC52A3,16.62,5.61,0.85,0.26,6.02,0.45,1.9,0.39,1.53,1.78,1.52,12.67,14.12,12.69,18.2,22.56,3.34,2.95,16.68,25.8,36.51,9.32,0.47,0.11,3.67,3.05,1.25,1.45,0.37,1.91
SLC5A1,36.33,3.6,21.4,2.39,12.5,6.23,23.87,1.62,23.28,42.78,38.17,1.42,1.89,1.34,3.12,6.01,1.52,7.09,2.6,3.45,49.74,12.24,0.92,0.59,150.8,13.14,2.78,9.52,58.29,6.72
SLC5A10,0.19,0.85,0.1,0.1,0.27,0.25,0.45,0.76,0.07,0.03,0.04,0,0.03,0,0.06,0.04,0.11,0,0,0,0.05,0.59,0.1,0.17,0.06,0.21,0.56,0.74,0.33,0.88
SLC5A11,1.81,0.72,2.01,0.51,0.79,1.09,0.46,0.6,0,0,0.02,0.27,0.4,0.41,0,0.04,0.04,0,0.16,0.25,0.65,2.31,1.73,3.75,0.05,22.72,1.75,2.77,1.14,1.07
SLC5A12,3.21,0.02,0.07,0,0.15,0.64,0.04,0.07,0.01,0.02,0,0,0,0,0,0.03,0.02,0.01,0.03,0.02,1.04,0,0,26.53,0.05,0.16,0.37,1.03,0.76,0.22
SLC5A2,0.63,0.33,0.12,0.05,0,0.06,0,0.03,0.08,0.04,0.11,0.08,0,0.05,0.05,0.04,0.18,0.09,0.04,0.25,0.21,0.16,0,0,0,0.22,0.27,0.27,0.18,0.16
SLC5A3,29.06,24.87,13.34,12.66,15.98,14.47,14.66,13.13,2.37,6.76,5.26,10.53,16.92,12.2,64.28,60.73,28.43,12.16,12.31,11.22,13.28,28.18,37.28,18.65,29.43,12.41,32.5,36.73,32.97,49.86
SLC5A4,0.19,0.93,1.23,0.18,0.16,0.24,0.75,0.37,0,0,0,0,0,0,0.65,0,0.1,0,1.03,0,0,0.77,0.15,11.35,0.26,1.72,0.81,0.42,0.82,2.91
SLC5A5,0.26,0.03,0.07,0,3.43,0.61,0.37,0.04,0,0.01,0.01,0,0,0.02,0.03,0.03,0.11,0,0.12,0,0,0.03,0,0,0,0.31,0.51,1.23,0.24,0.75
SLC5A6,41.83,52.87,42.4,35.99,46.64,84.71,66.41,155.95,64.15,88.84,90.98,155.15,144.65,165.69,47.25,36.56,105.51,130.45,18.65,18.83,92.23,109.22,12.78,63.62,34,41.44,41.97,94.65,67.14,208
SLC5A7,0,0,0.49,0.14,0.06,0.38,0.1,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.49,1.42,2,1.17,0.58
SLC5A8,14.43,1.45,95.1,4.63,9.65,2.35,0.07,0.21,0.11,0.22,0.13,0,0,0,0.31,0,3.38,0.59,0.1,0.1,66.63,171.33,1.65,0.28,49.78,12.54,1.35,2.68,1.34,0.82
SLC5A9,9.22,0.29,0.39,0.02,0.18,1.82,1.34,0.29,1.31,2.16,2.05,0.22,0.09,0.13,0.67,1.48,3.15,2.7,0.08,1.85,11,0.92,0.12,1.84,0.34,0.64,1.94,5.08,3.84,1.72
SLC6A1,1.83,0.79,1.71,1.34,1.81,3.25,0.44,0.88,0,0,0,0,0,0,1.28,0.05,0.71,0,2.25,0,0,0,0.02,0.23,0,0.38,2.62,6.18,2.24,1.38
SLC6A11,6.72,1.93,0.21,2.2,0.22,3.93,5.5,2.65,0.83,1.05,1.1,1.96,1.72,1.71,6.17,3.65,17.01,12.42,4.17,9.39,23.11,8.52,0.25,3.71,0.64,0.33,5.77,4.74,6.09,3.9
SLC6A12,2.17,2.04,1.91,1.07,0.98,0.54,0.41,0.53,0.01,0.02,0.02,0.47,0.15,0.15,2.03,2.05,0.99,0,1.05,0.48,0.07,0.51,0.74,0.62,0,0.2,0.55,0.96,0.35,0.99
SLC6A13,0.2,0.06,0.49,4.6,0,0.76,0.49,0.77,0.02,0,0.04,0,0,0,0.06,0.39,0.05,0,0.32,0.41,0,0,0,1.25,0,0.78,1.38,2.14,0.41,3.09
SLC6A14,128.2,6.27,91.6,73.99,4.87,9.19,49.62,3.88,16.43,34.94,29.49,22.02,23.1,25.39,13.54,0.61,0.98,13.31,12.76,20.11,102.45,40.28,6.34,0.2,91.11,65.6,54.28,7.72,50.19,4.96
SLC6A15,0.26,36.92,0.71,0.15,0.03,1.61,1.94,14.58,0,0,0.03,1.8,2.27,1.77,0.05,0.07,10.51,2.16,0.06,0.03,0,0.02,17.4,26.53,0.07,0.88,10.3,5.2,2.54,2.45
SLC6A16,9.47,8.17,1.07,1.46,0.9,3.86,1.8,0.9,0.9,1.35,0.87,1.77,1.45,1.68,2.66,4.41,0.66,0.64,1.14,1.42,1.28,1.49,1.03,5.9,17.9,1.09,3.15,8.3,3.33,3.55
SLC6A17,0.62,0.53,0.58,0.31,2.69,1.59,1.68,1.8,0.01,0.01,0.02,11.86,13.29,12.76,3.48,1.63,1.1,0.83,6.86,7.15,0.61,14.9,0.06,48.31,0.08,0.07,0.17,0.38,0.56,4.33
SLC6A18,0,0,0,0,0,0.1,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.43,2.27,0.06,0.28
SLC6A19,0,0,0.15,0.1,0,0.25,0,0.01,0,0,0,0,0,0,0.11,0.09,0,0,0,0,0.02,0,0,0.06,0,0.07,0.46,0.37,0.05,0.26
SLC6A2,0.2,0.15,0.44,0.16,0.05,3.64,0.45,0.08,1.35,1.15,1.2,8.29,9.84,9.05,0.06,0.03,0.2,0.46,9.09,7.09,0.07,0,0.11,0.16,10.85,0.23,0.64,6.83,0.56,1.39
SLC6A20,3.58,5.86,0.35,0.53,0.26,0.76,0.3,0.23,0.09,0.08,0.08,0,0,0,0.29,0.2,0.13,0.06,1.15,1.07,10.36,0.22,0.07,0,0.63,0.09,0.41,0.5,0.5,0.5
SLC6A3,0.14,0.33,0.51,0.09,0,0.53,0,0.04,0,0,0.01,0,0,0,0.23,0.14,0,0,0.04,0.08,0,0,0,0.68,0,0.85,1.49,2.22,1.36,0.89
SLC6A4,0.08,0.11,0.22,0.01,2.19,0.42,0.22,0.05,0.07,0.08,0.08,0.03,0,0,0.3,0.01,0.32,0.05,0.02,0,0.02,1.59,0,0.27,0.53,0.41,1.05,1.34,0.79,0.95
SLC6A5,0,0.05,0.11,0.48,0,0.42,0.36,0.42,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.17,0.95,1.45,1.04,1.22
SLC6A6,39.55,30.81,12.42,17.45,30.22,16.15,12.15,9.03,10.51,19.68,18.25,20.86,24.48,22.21,48.18,22.21,19.25,2.14,96.1,26.79,13.68,22.17,5.42,37.63,11.47,5.45,24.02,16.99,12.3,12.09
SLC6A7,0.1,0.06,0.34,0.01,0.2,0.8,0.17,0.14,0.01,0,0,0.07,0.05,0.02,0.03,0.05,0.05,0.09,0.26,0.11,0.03,0.47,0,1.25,0,0.03,0.2,0.78,0.38,0.13
SLC6A8,241.14,277.53,41.56,36.12,50.51,161.06,152.37,155.57,9.45,10.28,12.54,21.2,28.57,22.83,126.88,122.87,40.12,5.7,77.51,119.69,50.76,69.18,66.3,150.87,116.72,42.46,67.18,216.71,242.43,131.81
SLC6A9,19.47,187.98,13.89,6.13,44.49,38.86,21.63,19.68,45.48,62.41,60.59,49.33,47.02,47.88,36.59,39.26,78.06,41.77,21.32,20.76,25.86,135.95,26.86,4.85,65.13,16.09,7.66,28.33,12.69,20.59
SLC7A1,43.04,32.03,14.21,19.91,12.21,24.15,14.61,18.51,26.89,50.71,45.6,34.74,33.13,39.84,50.11,40.07,76.97,63.5,50.14,50.48,97.27,9.06,17.85,22.24,36.9,16.68,36.45,26.41,29.49,37.26
SLC7A10,0.79,10.96,0.07,0.55,0.65,0.21,1.14,0.64,0.23,0.31,0.23,0,0,0,5.66,9.36,0.71,0,0.58,0,0,0.05,7.4,3.62,0.16,0.13,1.36,0.59,0.26,0.66
SLC7A11,7.93,3.41,1.5,0.57,0.95,3.85,0.32,0.89,2.41,5.91,4.57,2.03,1.38,2.65,13.54,9.02,1.68,0.11,2.11,1.38,10.81,1.43,0.33,1.66,3.06,1.01,2.19,5.04,1.75,3.62
SLC7A13,0,0.03,1.63,0.58,0.43,2.47,0.27,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,3.11,4.51,10.91,4.62,3.96
SLC7A14,0.02,0.01,0.31,0.2,0.01,0.83,0.11,0.21,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,11.56,0.01,0.26,1.22,1.55,1.08,0.87
SLC7A2,4.19,5.29,3.03,4.23,75.92,2.24,6.65,2.28,0,0.01,0,0,0,0,0.58,0.07,0.6,0.03,2.71,0.34,2.52,56.47,0.95,50.92,0.44,1.53,0.8,1.62,1.37,3.17
SLC7A3,1.18,0.69,0.62,1.22,0.03,1.94,0.42,1.27,0.12,0.35,0.12,0,0,0,1.05,4.18,0.05,0,0.27,0.9,0,0.05,0,17.64,0,0.49,0.56,0.87,0.95,1.47
SLC7A4,1.06,0.08,1.06,0.41,0.03,0.73,1.11,0.62,0.19,0.17,0.31,0,0,0,0.05,0,0,0.03,0.3,0.43,0.36,0,0,0.13,0,1.18,1.35,1.7,0.93,3.6
SLC7A5,81.26,101.57,132.63,38.31,30.09,78.65,72.57,137.6,134.92,228.32,201.08,298.27,254.52,291.51,488.55,485.8,189.61,49.85,107.81,55.68,96.69,122.18,11.74,18.33,37.46,109.24,32.78,64.72,63.6,65.92
SLC7A6,24.01,17.19,8.27,13.74,33.31,10.53,16.8,12,6.58,11.97,12.3,32.65,32.23,35.19,39.47,41.58,22.73,10.9,24.61,13.67,14.11,45.31,4.45,27.7,17.77,8.99,8.06,11.85,12.37,16.8
SLC7A6OS,95.26,57.64,78.19,61.52,77.65,78.74,73.27,53.35,14.4,21.34,20.78,25.13,30.19,28.76,19.95,25.13,18.25,11.99,22.1,17.83,23.51,73.67,22.18,72.48,92.37,44.06,38.77,44.98,31.84,61.94
SLC7A7,46.41,32.08,26.56,23.21,28.53,23.43,13.57,25.14,0.56,0.82,1.02,0.17,0.11,0.17,6.11,1.28,21.17,0.06,23.61,0.1,0.78,0.24,0.28,0.86,1.66,0.84,0.46,3,0.47,2.46
SLC7A8,90.21,42.99,18.58,82.57,113.92,13.3,42.09,10.44,5.39,7.96,9.87,1.01,0.58,0.82,8.89,3.81,15.26,13.9,12.51,2.48,18.18,105.72,11.55,67.69,5.83,57.76,2.12,6.34,16.36,4.51
SLC7A9,0.69,4.14,0.04,0.25,0.28,0.62,0.5,2.24,0.74,0.3,0.24,0.15,0.11,0.15,0.58,0.76,0.19,0.04,0.53,0.41,0.15,3.27,9.85,11.09,0.37,0.2,1.31,0.51,0.23,2.89
SLC8A1,29.16,17.53,22.92,21.84,22.13,26.91,11.38,24.23,0.03,0.05,0.06,0.17,0.18,0.13,3.64,0.09,7.95,0.22,14.15,1.72,1.16,0.15,1.2,50.24,0.1,6.4,11.75,21.82,13.95,9
SLC8A2,0.07,0.32,0.14,0.05,0.09,0.48,0.12,0.5,0.01,0.01,0.01,0,0,0.03,0.3,0.38,0.04,0.03,1.89,0.91,0,1.28,0.07,5.33,0.11,0.35,1.05,1.74,0.28,0.74
SLC8A3,0.52,0.49,0.74,0.61,0.04,2.05,0.3,0.61,0.01,0,0,0,0,0,0.06,0,0,0,0.45,0.06,0,0.18,0.03,6.62,0,0.47,2.23,4.31,2.56,1.86
SLC8B1,10.05,18.25,4.52,5.51,9.81,4.87,5.65,8.06,5.37,5.29,5.38,12.21,14.11,13.38,24.37,21.54,21.64,11.69,22.86,9.22,4.22,6.67,1.47,11.21,4.72,2.68,0.96,5.17,2.73,6.37
SLC9A1,46.66,26.73,17.66,11.49,37.47,10.07,21.16,12.08,4.82,6.95,7.24,18.29,16.91,20.81,40.49,34.41,25.25,21.13,63.16,76.65,47.67,67.42,8.92,20.02,14.94,21.28,4.32,17.23,14.03,16.17
SLC9A2,11.92,1.72,41.07,1.22,17.77,2.17,1.33,8.18,4.82,6.91,6.46,3.65,4.21,3.57,0.02,0.03,0.28,0.46,0.71,0.26,0.14,77.92,1.24,1,0.17,24.94,4.02,6.32,2.39,19.5
SLC9A3,0.37,0.5,0.1,0.39,0.22,0.1,0.17,0.23,1.43,1.91,2.05,1.93,1.96,2.24,10.45,12.38,3.65,1.06,8.28,11.39,5.47,0.58,0.05,0.94,0.17,0.26,0.5,0.14,0.34,0.41
SLC9A3R1,233.41,75.65,316.72,80.21,239.9,65.79,106.73,86.4,208.41,277.27,283.06,350.01,338.05,315.23,140.9,149.71,207.64,191.35,128.9,185.29,563.64,453.82,31.71,67.99,77.41,390.76,133.13,86.94,144.53,108.06
SLC9A3R2,107.09,95.85,69.59,52.4,231.69,84.62,13.49,12.8,10.76,10.82,12.63,106.6,94.46,85.93,37.88,8.92,56.4,15.48,97.99,29.66,177.48,447.42,59.93,15.49,28.61,88.94,63.87,32.44,17.57,5.78
SLC9A4,0.58,0.78,1.03,0.4,3.2,2.39,0.44,2.1,0.11,0.18,0.17,0,0.06,0.03,0.03,0.02,0,0,0.06,0.13,0,5.64,0.07,0,0,1.47,1.71,4.14,2.55,2.37
SLC9A5,1.63,1.17,0.95,0.36,1.99,1.6,2.01,2,0.54,0.74,0.64,4.92,4.24,4.87,1.88,0.76,0.56,0.02,4.16,2.32,1.27,3.52,0.22,3.16,0.42,1.83,1.05,2.64,1.54,1.43
SLC9A6,22.7,30.28,16.45,42.1,38.65,49.42,15.04,63.57,10.66,17.71,19.21,16.58,15.52,16.19,12.61,19.01,7.81,8.48,13.8,16.38,4.15,46.61,13.09,56.6,33.89,29.4,31.18,54.11,41.45,75.26
SLC9A7,8.02,4.43,7.15,6.26,17.34,17.9,40.44,11.21,1.4,1.89,1.72,10.61,13.76,12.27,7.25,1.98,8.39,6.85,22.24,22.74,2.8,28.92,1.93,5.01,9.39,8.64,7.01,25.85,50.64,8.64
SLC9A8,19.38,16.71,15.21,16.77,28.72,17.28,14.41,35.46,4.07,6.44,5.6,5.29,4.97,4.55,17.11,27.84,17.02,19.67,11.07,10.52,10.65,31.63,5.04,19.52,33.66,8.48,1.64,13.35,10.27,30.98
SLC9A9,25.57,17.02,10.1,13.77,12.42,8.82,7.03,7.37,0.72,0.92,1.17,0.05,0.03,0.03,4.27,2.3,2.38,0.16,6.43,0.15,0.51,0.97,3.38,0.41,0,1.25,3.35,4.45,3.67,4.65
SLC9B1,6.1,4.16,3.21,0.75,5.48,6.24,10.09,0.82,0.3,0.29,0.24,0.1,0.2,0.16,0.07,0.06,0.24,0.11,0.15,0.37,0.26,2.22,0.98,0.66,2.53,5.19,9.45,9.91,9.88,2.89
