gene_id,PIM046_A3,PIM056_A3,PIM242,PIM014,PIM077,PIM137,PIM254,PIM040,PIM053,PIM091,PIM262,PIM068,PIM163,PIM010,PIM025,PIM164
ACAD10,7.51,19.11,6.62,11.7,,6.55,4.73,6,6.51,10.69,8.37,4.71,2.54,17.55,10.91,17.11
ACAD11,3,5.25,7.02,2.77,,9.66,11.29,9.81,1.76,4.26,7.57,7.73,4.08,11.9,11.33,24.06
ACAD8,32.27,20.48,5.23,11.78,,3.59,8.33,53.48,11.21,11.06,9.36,1.27,3.11,7.36,38.08,9.14
ACAD9,35.22,45.97,38.53,72.24,,64.81,46.3,34.83,26.58,41.7,33.89,26.6,29.58,74.01,48.13,67.06
ACADL,2.91,0.05,0.55,1.04,,0.45,4.7,0.29,25.44,0.04,0.04,1.11,5.62,4.88,1.16,0.37
ACADM,43.11,42.59,45.12,56.81,,69.61,132.15,49.66,281.38,301.66,264.08,12.7,205.21,40.33,29.66,191.47
ACADS,10.81,0.22,0.46,15.35,,1.32,0.66,27.77,1.07,0.92,0.11,0.09,0.88,24.29,11.87,1.77
ACADSB,0.78,7.94,3.62,3.18,,7.82,1.88,8.73,1.75,12.29,2.25,2.22,15.95,6.99,1.62,2.65
ACADVL,222.94,324.85,195.52,177.55,,227.3,165.09,276.09,158.46,248.45,62.2,40.66,42.69,93.13,157.47,65.04
ACAN,0,0.09,1.03,0.03,,1.28,0.7,0.01,0.24,0.03,0.04,0.38,4.89,422.86,11.33,0.07
ACAP1,0.02,0.28,0.7,0.16,,1.78,0.27,0.09,0.28,0.82,0,0.5,1.14,0.46,0.13,0.43
ACAP2,18.62,19.46,14.75,12.78,,23.45,17.17,13.18,10.84,23.31,23.47,30.69,20.49,25.33,15.38,37.53
ACAP3,7.48,31.84,0.52,24.24,,0.29,0.93,38.58,1.94,1.81,0.21,0.23,2.9,34.72,18.88,2.99
ACAT1,96.36,50.93,132.5,42.01,,72.04,51.15,236.01,90.01,188.63,97.99,39.78,110.57,27.34,70.01,70.31
ACAT2,70.63,0.84,59.47,146.64,,100.93,137.51,50.73,218.29,69.77,278.38,157.16,286.2,77.27,56.24,56.76
ACBD3,54.85,64.02,129.21,64.79,,94.56,151.13,46.58,96.7,83.76,192.8,115.62,183.89,89.74,55.29,104.86
ACBD4,8.01,6.48,1.23,4.32,,0.29,0.79,5.74,1.67,3.82,0.27,0.56,0,1.6,10.9,1.03
ACBD5,17.39,42,98.12,30.11,,78.41,85.37,19.97,123.36,115.64,152.46,57.78,77.43,16.32,21.28,52.93
ACBD6,38.83,53.76,190.31,56.03,,65.73,155.75,21.87,74.44,81.91,46.84,74.7,144.7,104.35,42.14,198.81
ACBD7,14.03,2.79,0.8,22.79,,0.49,0.78,22.08,1.32,0.48,7.54,0.67,3.97,0.42,3.82,1.47
ACCS,5.09,2.21,11.85,8.94,,10.99,9.61,2.55,3.69,11.36,16.39,0.68,7.01,2.34,20.64,10.04
ACCSL,0,0,0.57,0,,2.84,0.47,0,0.14,0,0.17,0.35,0,0,0.06,0
ACD,7.7,31.22,6.62,8.21,,6.08,7.16,13.23,4.47,19.25,10.27,2.99,4.17,36.39,17.41,37.15
