Sample,Type,PIM046_A3,PIM056_A3,185_057_X0_P3,185_026_X0_P3,185_037_X0_P3,185_071_X0_P3,185_002_X0_P3,185_049_X0_P3,185_128_X0_P3,185_129_X0_P3
Trial_ID,Meta,185,185,185,185,185,185,185,185,185,185
Patient_ID,Meta,32,40,57,26,37,71,2,49,128,129
TimePoint,Meta,Pre,Pre,Pre,Pre,Pre,Pre,Pre,Pre,Pre,Pre
Passage,Meta,P3,P3,P3,P3,P3,P3,P3,P3,P3,P3
Source,Meta,PDX,PDX,PDX,PDX,PDX,PDX,PDX,PDX,PDX,PDX
Have_RNA_seq,Meta,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PIM_ID,Meta,PIM046,PIM056,PIM077,PIM040,PIM053,PIM091,PIM010,PIM068,PIM163,PIM164
RCB_status,Meta,RCB-II,RCB-III,RCB-II,RCB-II,RCB-I,RCB-III,RCB-II,pCR,RCB-III,RCB-I
VB_Subtype,Meta,BL2,BL2,BL2,LAR,LAR,LAR,M,M,M,UNS
AAMP,Exp,4971,3958,3791,1751,6590,599,4360,2348,1225,1103
AANAT,Exp,0,0,0,0,45,43,0,31,452,136
AAR2,Exp,2892,1602,1085,990,1764,397,872,423,637,805
AARD,Exp,14410,9865,125,153,8615,57,4152,19,4232,64
AARS,Exp,12683,15038,1926,5850,12625,2172,10405,5378,3314,4438
AARS2,Exp,995,981,1112,927,1130,288,2370,366,2096,1326
AARSD1,Exp,1,3,0,5,3,4,0,1,36,3
AASDH,Exp,971,878,204,205,1679,1257,302,1602,1654,749
AASDHPPT,Exp,3830,2631,428,1609,2728,368,740,1169,378,461
AASS,Exp,320,90,360,56,1538,2139,18,1621,3044,1504
AATF,Exp,2787,2617,1198,954,6416,2394,989,3760,1590,2613
AATK,Exp,181,238,2,209,178,204,35,128,1940,703
ABAT,Exp,271,164,533,53,737,1865,73,1049,1333,3279
ABCA1,Exp,361,9,41,111,1913,3866,1421,1794,4946,1573
ABCA10,Exp,3,16,0,25,1399,1888,0,1316,3378,2469
ABCA12,Exp,25,11,242,607,12582,12987,11,3872,5341,3861
ABCA13,Exp,4,3,0,743,7307,7017,505,3174,14581,4502
ABCA2,Exp,2993,1560,822,1614,1297,1416,1723,504,3044,1673
ABCA3,Exp,4196,7549,50,2640,3143,1296,2293,837,2877,1585
ABCA4,Exp,95,0,303,1,974,2746,293,1465,6597,2856
ABCA5,Exp,800,1455,52,400,2975,3287,196,2645,4624,7126
ABCA6,Exp,0,0,0,12,2007,2523,0,1655,4287,2759
