Sample,Type,PIM046_A3,PIM056_A3,185_057_X0_P3,185_026_X0_P3,185_037_X0_P3,185_071_X0_P3,185_002_X0_P3,185_049_X0_P3,185_128_X0_P3,185_129_X0_P3
Trial_ID,Meta,185,185,185,185,185,185,185,185,185,185
Patient_ID,Meta,32,40,57,26,37,71,2,49,128,129
TimePoint,Meta,Pre,Pre,Pre,Pre,Pre,Pre,Pre,Pre,Pre,Pre
Passage,Meta,P3,P3,P3,P3,P3,P3,P3,P3,P3,P3
Source,Meta,PDX,PDX,PDX,PDX,PDX,PDX,PDX,PDX,PDX,PDX
Have_RNA_seq,Meta,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PIM_ID,Meta,PIM046,PIM056,PIM077,PIM040,PIM053,PIM091,PIM010,PIM068,PIM163,PIM164
RCB_status,Meta,RCB-II,RCB-III,RCB-II,RCB-II,RCB-I,RCB-III,RCB-II,pCR,RCB-III,RCB-I
VB_Subtype,Meta,BL2,BL2,BL2,LAR,LAR,LAR,M,M,M,UNS
SLC13A2,Exp,11,0,0,963,261,206,0,212,7765,279
SLC13A3,Exp,218,5,142,795,730,957,167,269,1595,735
SLC13A4,Exp,9,55,2,1,517,1802,3,970,1738,895
SLC13A5,Exp,1,18,2,17,175,343,77,124,831,160
SLC14A1,Exp,12,0,8,260,405,421,15,390,1361,219
SLC14A2,Exp,0,0,0,1,529,518,3,555,2519,438
SLC15A1,Exp,28,15,187,3,891,817,24,627,1805,1119
SLC15A2,Exp,300,296,19,451,2030,1087,37,1006,2219,881
SLC15A3,Exp,22,9,28,3,211,242,63,136,383,226
SLC15A4,Exp,1429,678,583,534,1855,505,1135,1303,1199,659
SLC15A5,Exp,1,0,0,0,111,424,2,493,805,361
SLC16A1,Exp,5032,571,2707,3896,182,200,2967,1953,1114,1117
SLC16A10,Exp,127,0,122,87,1031,373,39,546,496,372
SLC16A11,Exp,34,36,13,3,32,62,50,26,339,61
SLC16A12,Exp,2,0,0,0,297,273,53,316,861,491
SLC16A13,Exp,181,747,58,152,1190,204,216,65,530,160
SLC16A14,Exp,312,458,324,679,2278,621,44,250,879,574
SLC16A2,Exp,362,1525,80,14,2471,949,1470,514,1145,2631
SLC16A3,Exp,1371,11787,487,1167,799,526,603,106,989,306
SLC16A4,Exp,1214,41,6,8,1843,998,59,864,1926,1262
SLC16A5,Exp,351,1,9,99,122,258,123,127,612,162
SLC16A6,Exp,38,17,6,3,269,327,0,324,1024,450
SLC16A7,Exp,1154,1,380,0,2260,398,237,820,889,1115
SLC16A8,Exp,15,1,0,20,199,100,15,294,852,144
SLC16A9,Exp,27,722,123,135,357,179,868,1043,765,1371
SLC17A1,Exp,0,0,0,0,689,493,0,464,1404,783
SLC17A2,Exp,0,0,0,0,392,377,0,286,1122,666
SLC17A3,Exp,0,0,0,0,425,303,0,249,886,439
SLC17A4,Exp,0,0,0,0,604,716,0,482,1688,1371
SLC17A5,Exp,4037,1262,123,554,2553,714,1711,1677,5734,762
SLC17A6,Exp,0,0,77,0,358,914,0,398,1297,1815
SLC17A7,Exp,9,7,5,2,277,488,10,284,1260,753
SLC17A8,Exp,0,0,0,0,303,581,251,331,1312,489
SLC17A9,Exp,2,2,3,33,104,182,2,142,1183,316
SLC18A1,Exp,0,0,0,0,218,1724,0,399,1243,3087
SLC18A2,Exp,1,0,0,0,348,916,0,302,1191,670
SLC18A3,Exp,1,5,28,0,64,62,219,51,504,423
SLC18B1,Exp,1412,1249,315,708,1803,463,21,947,4599,508
SLC19A1,Exp,580,1110,1579,2167,658,266,1757,487,2639,195
SLC19A2,Exp,2249,994,129,185,2613,1230,848,2382,1866,1418
SLC19A3,Exp,46,43,5,1,140,194,11,171,694,261
SLC1A1,Exp,418,20,0,77,459,658,3,468,994,508
SLC1A2,Exp,20,43,307,2245,2143,897,20,552,3785,2459
SLC1A3,Exp,264,166,127,72,676,2575,99,666,4675,1100
SLC1A4,Exp,2081,372,941,327,2189,503,1297,7420,1494,1183
SLC1A5,Exp,4992,6501,3567,5759,5287,765,13254,772,741,519
SLC1A6,Exp,0,0,12,0,102,373,350,208,919,509
SLC1A7,Exp,0,0,0,0,134,235,0,206,983,426
SLC20A1,Exp,1386,3044,2005,827,4990,736,1778,1784,1466,2711
SLC20A2,Exp,2688,9593,992,1157,2665,2177,1008,2356,6798,1034
SLC22A1,Exp,4,9,19,25,513,248,6,456,1815,233
SLC22A10,Exp,1,0,0,1,359,653,1,396,543,406
SLC22A11,Exp,0,0,0,0,159,240,0,207,532,300
SLC22A12,Exp,0,0,0,0,78,160,0,117,485,194
SLC22A13,Exp,1,0,9,30,147,131,5,66,992,127
SLC22A14,Exp,0,3,0,7,124,120,2,43,974,128
SLC22A15,Exp,39,213,14,10,915,353,179,165,1089,966
SLC22A16,Exp,25,1,5,4,406,465,5,732,624,319
SLC22A17,Exp,629,236,234,833,197,144,1553,107,509,1012
SLC22A18,Exp,987,392,121,1696,390,209,630,205,756,248
SLC22A18AS,Exp,26,14,9,75,22,34,17,38,233,90
SLC22A2,Exp,2,0,5,0,459,736,0,1093,2382,458
SLC22A20,Exp,25,54,26,16,297,254,25,191,551,293
SLC22A23,Exp,1831,839,1288,189,3429,1227,240,1481,1679,2016
SLC22A24,Exp,0,0,0,0,324,895,0,444,962,532
SLC22A25,Exp,0,0,0,0,383,679,0,494,565,431
SLC22A3,Exp,14,3,106,26,276,509,0,856,1898,329
SLC22A31,Exp,2,4,0,16,60,116,80,39,588,64
SLC22A4,Exp,28,79,19,9,421,1116,36,473,1119,696
SLC22A5,Exp,608,1081,134,160,1271,1316,692,793,1059,1117
SLC22A6,Exp,0,0,0,1,104,219,0,115,780,176
SLC22A7,Exp,0,0,0,1,164,144,0,132,1157,308
SLC22A8,Exp,0,0,0,0,109,154,0,135,719,263
SLC22A9,Exp,0,0,0,0,366,964,0,636,708,665
SLC23A1,Exp,16,1,64,51,218,373,2,217,1362,238
SLC23A2,Exp,706,2024,786,723,3487,2058,1951,1941,2731,2392
SLC23A3,Exp,39,42,25,98,225,185,234,271,901,292
SLC24A1,Exp,237,172,100,269,1073,1310,471,758,1557,2734
SLC24A2,Exp,0,0,0,19,249,392,55,325,713,198
SLC24A3,Exp,914,389,110,74,1421,1430,564,1983,2446,1155
SLC24A4,Exp,3,1,3,0,270,324,42,212,2384,275
SLC24A5,Exp,4,1,0,8,564,122,0,123,609,444
SLC25A1,Exp,2897,1980,1696,4598,1573,223,3102,278,550,383
SLC25A10,Exp,1597,2058,1211,1691,400,85,586,86,711,241
SLC25A11,Exp,2582,2472,1481,1320,1401,158,537,78,470,162
SLC25A12,Exp,940,1898,609,610,3215,2110,690,1106,2462,1967
SLC25A13,Exp,887,2924,801,1705,6210,2221,1360,2379,3028,2370
SLC25A14,Exp,363,408,59,27,5602,1271,109,1287,984,2232
SLC25A15,Exp,2737,1303,340,650,798,480,540,674,1202,258
SLC25A16,Exp,557,1184,155,246,5143,561,533,731,1170,1027
SLC25A17,Exp,2738,924,468,763,1265,569,974,1452,1228,771
SLC25A18,Exp,0,0,1,1,156,64,3,98,847,156
SLC25A19,Exp,931,884,259,680,558,209,149,191,612,502
SLC25A2,Exp,0,2,15,15,121,80,10,55,262,88
SLC25A20,Exp,1616,217,60,268,621,420,178,219,1335,279
SLC25A21,Exp,1,1,39,1,1056,367,18,247,986,618
SLC25A22,Exp,1086,1464,1047,592,140,89,1332,90,536,322
SLC25A23,Exp,3000,3058,774,1155,2308,716,379,226,936,860
SLC25A24,Exp,3919,4380,236,167,8803,1331,496,1750,2523,934
SLC25A25,Exp,1475,1586,780,634,1367,410,859,289,1111,301
SLC25A26,Exp,1191,450,251,199,1555,855,280,460,1615,448
SLC25A27,Exp,361,81,51,161,652,234,560,690,1265,1045
SLC25A28,Exp,1067,809,372,229,2030,284,563,971,540,391
SLC25A29,Exp,3676,1052,934,293,645,131,441,44,554,123
SLC25A3,Exp,30338,8682,8410,15414,32723,4242,9753,15372,2751,5575
SLC25A30,Exp,1555,1563,174,518,3374,685,50,962,1008,451
SLC25A31,Exp,0,0,0,0,318,512,0,350,562,316
SLC25A32,Exp,2310,2712,1060,1264,4007,669,1338,2243,688,360
SLC25A33,Exp,1422,629,579,716,2691,371,236,589,694,808
SLC25A34,Exp,14,42,16,22,127,86,26,50,562,171
SLC25A35,Exp,262,253,118,369,1072,453,104,85,453,251
SLC25A36,Exp,5252,2224,1266,983,3553,1256,1617,2587,1553,2464
SLC25A37,Exp,2495,2606,763,1788,2364,1023,3281,674,413,892
SLC25A38,Exp,1431,911,396,512,1392,695,560,385,1374,571
SLC25A39,Exp,24691,7187,2370,4042,10033,1239,2965,2147,937,2114
SLC25A4,Exp,2028,1020,858,484,5649,1382,546,2527,636,2072
SLC25A40,Exp,825,1086,156,440,2518,1632,341,1501,1639,1612
SLC25A41,Exp,4,15,0,7,157,354,1,163,663,542
SLC25A42,Exp,882,406,36,678,385,170,508,171,745,180
SLC25A43,Exp,1337,1868,250,203,3876,611,661,1645,555,560
SLC25A44,Exp,3002,2107,1211,256,6706,1246,1911,1836,1965,2455
SLC25A45,Exp,326,320,219,588,456,107,220,131,477,136
SLC25A46,Exp,1724,2058,513,447,1602,1418,611,1269,945,1142
SLC25A47,Exp,12,0,0,0,79,94,5,31,873,52
SLC25A48,Exp,5,112,6,9,320,414,20,191,799,347
SLC25A5,Exp,12330,20644,5732,6930,34011,4955,3961,13036,870,4618
SLC25A51,Exp,911,370,209,246,1347,191,398,728,357,273
SLC25A52,Exp,6,11,6,2,92,51,3,59,477,60
SLC25A53,Exp,12,24,7,12,21,34,91,60,135,139
SLC25A6,Exp,7626,7652,16226,4318,101717,2988,8695,21836,1870,7523
SLC26A1,Exp,11,14,2,6,101,45,251,73,464,188
SLC26A10,Exp,57,3,178,0,326,824,114,682,1045,1995
SLC26A11,Exp,825,555,98,352,812,397,404,214,1540,796
SLC26A2,Exp,1118,1610,658,1515,2682,307,7846,907,1330,648
SLC26A3,Exp,0,0,0,0,431,1244,0,685,2656,872
SLC26A4,Exp,72,12,1,7,548,1294,17,807,2162,886
SLC26A5,Exp,1,0,2,2,1386,3416,0,1823,3237,2079
SLC26A6,Exp,892,659,357,633,1528,328,280,97,1517,182
SLC26A7,Exp,544,4,0,84,3397,1117,15,785,917,467
SLC26A8,Exp,6,1,8,3,701,837,6,775,2950,1232
SLC26A9,Exp,18,322,2,60,779,760,17,703,3628,1088
SLC27A1,Exp,2435,1160,1190,3396,387,270,1082,218,1479,391
SLC27A2,Exp,44,0,45,99,438,568,0,132,900,624
SLC27A3,Exp,1339,618,148,146,1743,628,609,521,1614,655
SLC27A4,Exp,2198,1573,878,1420,940,396,948,110,1124,271
SLC27A5,Exp,732,139,6,108,519,233,89,236,643,317
SLC27A6,Exp,12,7,18,1,331,1039,1800,435,1068,370
SLC28A1,Exp,250,476,13,16,725,718,72,286,1219,416
SLC28A2,Exp,0,0,0,4,426,580,0,403,1350,855
SLC28A3,Exp,555,172,139,1930,402,844,3,797,1583,501
SLC29A1,Exp,7356,6428,862,3000,4537,790,7174,979,1906,2779
SLC29A2,Exp,2176,1477,2282,2238,2056,203,474,230,838,231
SLC29A3,Exp,57,323,79,41,930,222,217,290,431,389
SLC29A4,Exp,1332,261,109,615,693,398,302,235,3263,3539
SLC2A1,Exp,21059,9921,25787,1788,5123,1947,24670,2115,6115,714
SLC2A10,Exp,89,5,17,820,5155,1603,1227,202,1428,570
SLC2A11,Exp,627,362,148,371,1473,242,277,242,1085,439
SLC2A12,Exp,3124,71,380,40,7548,503,1819,836,3643,286
SLC2A13,Exp,368,152,54,531,916,589,244,485,1127,606
SLC2A14,Exp,431,426,51,0,96,474,12,575,1036,475
SLC2A2,Exp,0,0,0,0,484,656,0,803,1323,748
SLC2A3,Exp,35,45,78,1,104,674,194,719,1245,1315
SLC2A4,Exp,148,177,30,317,496,224,14,79,754,112
SLC2A4RG,Exp,7538,3713,3979,3581,4185,829,4476,1193,921,960
SLC2A5,Exp,61,5,112,80,165,198,16,79,785,214
SLC2A6,Exp,832,1780,93,1,308,328,199,59,1101,165
SLC2A7,Exp,0,0,1,1,118,151,0,71,991,221
SLC2A8,Exp,1281,644,327,324,1106,250,331,80,631,160
SLC2A9,Exp,53,22,223,80,308,171,149,131,429,240
SLC30A1,Exp,608,399,597,623,2734,417,1100,1251,1109,386
SLC30A10,Exp,4,4,7,1,144,126,3,97,699,158
SLC30A2,Exp,16,2,4,16,123,199,10,52,633,186
SLC30A3,Exp,1,13,14,1,248,338,19,155,1773,541
SLC30A4,Exp,269,292,14,209,1584,362,303,303,811,711
SLC30A5,Exp,3688,3255,738,773,5835,2376,1665,2677,1956,903
SLC30A6,Exp,2595,1857,792,696,1976,1047,1375,1574,2697,1597
SLC30A7,Exp,2252,1240,334,1863,3665,716,1303,906,2503,1172
SLC30A8,Exp,2075,4,0,0,1078,1165,3993,269,2372,365
SLC30A9,Exp,7167,2840,475,602,7352,960,1660,1829,1188,2206
SLC31A1,Exp,11390,3058,887,3061,7539,1898,2129,1779,1187,992
SLC31A2,Exp,292,393,88,4116,1164,1443,52,230,397,140
SLC32A1,Exp,0,0,0,0,43,101,1,56,865,171
SLC33A1,Exp,3059,1486,463,734,3088,578,2960,1450,759,914
SLC34A1,Exp,1,4,0,0,89,291,1,164,1059,331
SLC34A2,Exp,2291,6922,93,196,2966,297,2322,857,829,405
SLC34A3,Exp,17,2,5,2,104,114,14,34,727,96
SLC35A1,Exp,7146,1977,285,410,2356,567,1041,1874,1838,456
SLC35A2,Exp,2519,1972,693,898,4644,1027,1858,1532,634,423
SLC35A3,Exp,4308,2334,228,1202,1693,457,711,364,1543,423
SLC35A4,Exp,3450,4075,921,2348,8045,2537,1234,2108,1373,2281
SLC35A5,Exp,1340,1036,183,655,1101,288,240,568,821,546
SLC35B1,Exp,3879,2055,595,782,8972,1217,1931,2148,1227,3709
SLC35B2,Exp,6966,5410,1284,4147,5763,466,3678,1008,929,812
SLC35B3,Exp,2224,1188,74,185,5752,875,161,2619,1763,888
SLC35B4,Exp,2004,955,491,248,1121,373,735,494,791,515
SLC35C1,Exp,1216,737,410,521,1918,169,538,83,565,131
SLC35C2,Exp,1494,1820,1503,1555,1212,351,1236,113,1069,537
SLC35D1,Exp,834,656,677,250,1181,821,1405,749,1720,1420
SLC35D2,Exp,1872,11,167,345,1286,276,131,355,721,203
SLC35D3,Exp,0,0,0,0,41,47,11,59,627,243
SLC35E1,Exp,6712,5539,1916,4190,2314,579,6183,665,917,424
SLC35E2,Exp,662,1461,486,921,409,210,565,259,1263,278
SLC35E2B,Exp,313,833,1476,2268,908,175,2255,105,1297,163
SLC35E3,Exp,373,164,378,564,1070,227,560,316,690,586
SLC35E4,Exp,88,198,160,247,207,77,498,87,742,181
SLC35F1,Exp,9,9,0,123,644,314,1058,861,3642,227
SLC35F2,Exp,8059,4486,1087,2588,1326,416,529,984,651,418
SLC35F3,Exp,153,389,18,83,1460,635,643,983,2633,1053
SLC35F4,Exp,0,0,0,0,327,208,0,123,525,205
SLC35F5,Exp,3812,3743,836,1857,10057,988,2875,2871,2656,1839
SLC35F6,Exp,1875,1648,3101,965,3054,492,2219,426,895,630
SLC35G1,Exp,89,244,136,153,647,237,134,300,491,254
SLC35G2,Exp,19,2,218,10,245,68,192,210,121,313
SLC35G3,Exp,0,0,0,0,32,97,0,72,536,110
SLC35G4,Exp,0,0,0,0,128,150,0,52,683,162
SLC35G5,Exp,2,1,3,1,88,182,2,87,792,127
SLC35G6,Exp,0,0,0,0,88,150,0,31,495,75
SLC36A1,Exp,1070,1738,330,584,2723,3047,856,2661,2063,2313
SLC36A2,Exp,0,0,0,0,260,896,0,645,1102,563
SLC36A3,Exp,0,0,0,0,292,1361,0,885,954,840
SLC36A4,Exp,1517,1107,133,388,1146,428,362,1354,607,801
SLC37A1,Exp,643,2239,148,1420,7912,949,886,881,4229,409
SLC37A2,Exp,0,25,87,2317,170,181,1155,164,747,206
SLC37A3,Exp,4225,3118,695,823,2524,764,1924,1672,1654,1229
SLC37A4,Exp,4524,1484,595,1209,1383,484,773,559,458,721
SLC38A1,Exp,20200,5726,2652,13610,30858,8203,12167,14482,2973,5243
SLC38A10,Exp,3215,4906,953,583,1712,425,1849,587,2337,1334
SLC38A11,Exp,0,0,1,0,526,692,0,230,3989,1092
SLC38A2,Exp,18266,8593,1310,7067,33461,5015,7681,12583,3113,4782
SLC38A3,Exp,43,2112,49,29,158,193,964,84,1153,177
SLC38A4,Exp,1,0,2,0,1325,1036,2,1298,1250,833
SLC38A5,Exp,27,9,14,4,312,439,4,197,869,794
SLC38A6,Exp,281,486,28,46,1112,619,168,485,846,350
SLC38A7,Exp,902,900,288,461,839,284,991,327,1132,393
SLC38A8,Exp,0,0,0,0,294,292,1,61,966,187
SLC38A9,Exp,811,640,187,95,1229,856,946,416,693,697
SLC39A1,Exp,12601,9936,2298,931,5499,615,4059,1040,933,437
SLC39A10,Exp,1842,2524,1812,1798,10021,1373,3048,11053,4188,3947
SLC39A11,Exp,5280,2848,267,1288,12630,1814,438,710,1226,1130
SLC39A12,Exp,268,12,0,8,703,672,1,859,2104,237
SLC39A13,Exp,2299,1123,364,682,750,384,1241,167,999,590
SLC39A14,Exp,3021,14331,6940,1304,362,931,2490,3340,1867,2770
SLC39A2,Exp,734,1,7,30,101,77,81,71,463,204
SLC39A3,Exp,836,1193,747,637,495,137,759,24,384,249
SLC39A4,Exp,1441,833,232,1463,5615,412,1483,276,763,258
SLC39A5,Exp,2,4,0,3,163,162,10,154,836,357
SLC39A6,Exp,7810,5554,2039,961,11676,1883,6221,11188,3500,3817
SLC39A7,Exp,10859,9219,2836,6707,3749,575,7311,655,922,1649
SLC39A8,Exp,3634,733,167,1242,1788,1367,501,3486,1028,498
SLC39A9,Exp,4665,3655,2569,2159,5336,853,1936,1161,1380,1036
SLC3A1,Exp,3,2,1,5,1462,1532,0,862,2382,1321
SLC3A2,Exp,24996,14268,3070,4023,10828,1904,6263,2518,1461,1810
SLC40A1,Exp,419,2,418,568,3922,2421,5299,366,1055,771
SLC41A1,Exp,867,1392,720,1218,1356,513,1345,657,1832,958
SLC41A2,Exp,488,521,209,165,2833,1347,325,1155,1252,793
SLC41A3,Exp,1543,1460,981,972,1373,676,1225,1311,1171,746
SLC43A1,Exp,58,3,27,888,131,92,71,181,1212,1090
SLC43A2,Exp,1455,3077,1857,2390,1083,348,806,149,1190,171
SLC43A3,Exp,9339,8398,3863,1421,9852,413,2859,2127,2351,2709
SLC44A1,Exp,5706,6177,1422,1561,7462,2691,3182,5882,2909,1685
SLC44A2,Exp,25597,18395,2782,6839,15239,2643,28243,3269,3256,965
SLC44A3,Exp,2146,615,42,89,2631,581,49,363,2392,1246
SLC44A4,Exp,101,1,2,6,4126,966,22,492,1559,607
SLC44A5,Exp,238,1,0,78,1393,921,106,494,2763,3704
SLC45A1,Exp,25,3,118,2,164,435,117,98,1172,463
SLC45A2,Exp,1,1,2,14,354,1356,2,372,2252,1545
SLC45A3,Exp,422,528,152,422,546,187,211,445,1485,296
SLC45A4,Exp,2561,998,747,1570,2243,317,425,204,1120,216
SLC46A1,Exp,449,458,362,537,340,117,305,181,1517,224
SLC46A2,Exp,0,0,0,0,70,85,0,33,387,79
SLC46A3,Exp,1039,603,0,12,2071,876,51,486,699,268
SLC47A1,Exp,0,4,6,1,183,429,61,288,1117,484
SLC47A2,Exp,1,0,2,0,326,259,1,202,1221,362
SLC48A1,Exp,1176,757,293,1295,1155,253,446,132,389,227
SLC4A1,Exp,0,0,14,3,278,390,1,252,1282,531
SLC4A10,Exp,4,0,1,2,1806,1612,10,1636,2658,2330
SLC4A11,Exp,422,1094,394,1085,17256,721,187,330,2104,425
SLC4A1AP,Exp,1516,2043,848,565,7476,1976,867,2771,4120,3889
SLC4A2,Exp,8084,6164,1210,6082,1629,626,4824,399,2529,1347
SLC4A3,Exp,155,685,389,328,973,443,4144,670,2659,1090
SLC4A4,Exp,174,6,4,1,1313,2823,1,3983,3678,1223
SLC4A5,Exp,71,55,38,269,1497,1202,271,888,2757,834
SLC4A7,Exp,907,790,379,849,4672,2025,747,2689,4629,1399
SLC4A8,Exp,5,10,33,29,1665,2685,29,1625,4040,3870
SLC4A9,Exp,0,1,4,7,1025,599,0,382,1375,516
SLC50A1,Exp,6572,2807,970,643,4308,613,1222,374,1157,645
SLC51A,Exp,6,0,93,0,430,102,1,202,599,163
SLC51B,Exp,1,0,1,0,62,99,0,55,266,253
SLC52A1,Exp,35,536,36,26,36,85,70,18,297,27
SLC52A2,Exp,6514,5284,1760,5029,4623,362,2501,196,317,124
SLC52A3,Exp,117,637,198,940,484,180,726,80,746,204
SLC5A1,Exp,5230,123,59,2397,3221,814,375,751,1802,858
SLC5A10,Exp,2,0,5,1,341,195,2,194,924,255
SLC5A11,Exp,1,19,0,22,2903,1006,2,669,1887,700
SLC5A12,Exp,0,0,0,77,545,572,3,703,1610,1688
SLC5A2,Exp,7,2,7,9,167,317,5,240,1514,276
SLC5A3,Exp,1678,2593,834,1483,5761,3028,8514,5192,7972,2338
SLC5A4,Exp,0,0,0,0,1726,704,0,920,1806,1417
SLC5A5,Exp,1,1,2,0,160,292,1,215,967,432
SLC5A6,Exp,8319,10167,3150,3059,5679,1733,1620,2222,1877,1416
SLC5A7,Exp,0,0,0,0,401,564,0,336,1044,382
SLC5A8,Exp,12,0,0,2201,2769,4196,0,594,1833,572
SLC5A9,Exp,188,8,9,407,202,693,89,461,1789,916
SLC6A1,Exp,0,0,0,0,282,831,2,632,2192,722
SLC6A11,Exp,169,226,415,1082,279,811,261,972,1701,684
SLC6A12,Exp,2,8,6,2,393,383,90,326,1591,358
SLC6A13,Exp,3,0,4,2,252,209,9,237,1151,209
SLC6A14,Exp,3681,2110,67,4565,16108,1039,37,5301,928,467
SLC6A15,Exp,3,145,0,0,432,789,3,1020,1325,868
SLC6A16,Exp,136,190,144,144,619,724,687,639,1084,1030
SLC6A17,Exp,4,1486,5,36,142,347,118,75,1442,1812
SLC6A18,Exp,0,0,0,0,164,212,0,99,1102,444
SLC6A19,Exp,0,0,3,2,214,375,5,145,1406,727
SLC6A2,Exp,110,555,12,2,194,395,1,283,1186,343
SLC6A20,Exp,15,0,56,621,195,389,18,134,1390,269
SLC6A3,Exp,1,0,0,0,443,862,8,313,2013,1341
SLC6A4,Exp,15,0,1,1,208,340,3,271,976,304
SLC6A5,Exp,0,0,0,0,444,1815,0,771,1665,992
SLC6A6,Exp,2828,2583,2149,866,1596,1202,1739,2503,2458,1826
SLC6A7,Exp,0,1,0,1,138,339,2,264,1364,295
SLC6A8,Exp,1146,1423,1525,1749,5015,1057,5242,2713,1708,2896
SLC6A9,Exp,5377,2790,100,820,2026,1016,1636,445,3610,337
SLC7A1,Exp,9197,5358,2840,6904,5164,612,3598,3933,1927,1037
SLC7A10,Exp,13,0,2,0,69,112,231,89,5394,151
SLC7A11,Exp,1213,462,44,1029,822,705,1129,638,947,520
SLC7A13,Exp,0,0,0,0,504,484,0,268,414,197
SLC7A14,Exp,0,0,0,0,203,265,1,323,1072,1066
SLC7A2,Exp,1,2,33,186,772,3122,7,515,2983,2814
SLC7A3,Exp,9,0,0,0,246,339,112,159,571,665
SLC7A4,Exp,19,0,6,8,159,48,0,56,687,131
SLC7A5,Exp,24684,24036,3323,4202,19530,2539,26093,2112,2008,902
SLC7A6,Exp,2120,4046,425,915,2530,1975,3200,1163,1798,1855
SLC7A6OS,Exp,982,901,243,385,1386,582,512,474,758,676
SLC7A7,Exp,60,7,9,15,709,639,41,372,1128,904
SLC7A8,Exp,958,71,4340,587,7921,1037,153,203,1236,1462
SLC7A9,Exp,10,5,9,3,198,277,34,194,13012,317
SLC8A1,Exp,12,18,0,72,2081,2379,6,1358,3509,3414
SLC8A2,Exp,1,3,3,1,222,269,30,195,1096,473
SLC8A3,Exp,2,0,0,0,272,710,0,295,1232,550
SLC8B1,Exp,467,774,498,138,645,362,873,248,768,675
SLC9A1,Exp,930,1835,1145,2165,4163,1143,1933,330,1852,804
SLC9A2,Exp,986,358,32,7,6078,2336,2,895,2781,1339
SLC9A3,Exp,308,206,374,266,305,498,678,253,1656,900
SLC9A3R1,Exp,14596,10819,2166,9871,30216,5077,3250,3734,1217,1185
SLC9A3R2,Exp,737,3260,104,3798,7537,8212,242,4082,1125,372
SLC9A4,Exp,22,2,0,1,536,877,1,499,2154,983
SLC9A5,Exp,69,407,8,60,655,573,46,343,1599,588
SLC9A6,Exp,2389,1353,380,178,5735,3579,1061,2185,1984,5031
SLC9A7,Exp,483,2346,1342,287,4173,1736,242,1373,1014,1164
SLC9A8,Exp,996,547,347,694,2775,1251,2179,413,2346,1462
SLC9A9,Exp,115,9,53,19,651,939,109,814,1773,787
SLC9B1,Exp,45,8,2,9,606,835,9,641,1013,295
SLC9B2,Exp,795,69,83,14,389,987,479,1808,1003,719
SLC9C1,Exp,5,0,0,22,1599,1242,24,1088,2340,1102
SLC9C2,Exp,0,0,0,82,1796,2700,7,2082,5123,2203
SLCO1A2,Exp,37,3,0,246,184,498,110,10715,1100,1121
SLCO1B1,Exp,0,0,0,0,160,394,40,1794,784,355
SLCO1B3,Exp,0,0,0,0,99,412,0,469,761,296
SLCO1B7,Exp,0,0,0,0,337,601,0,667,831,290
SLCO1C1,Exp,0,0,0,1,300,1047,0,1053,1436,538
SLCO2A1,Exp,22,0,22,83,234,331,4,271,1199,849
SLCO2B1,Exp,4,2,232,18,200,409,1,217,597,182
SLCO3A1,Exp,0,267,927,3,207,926,36,336,1550,2591
SLCO4A1,Exp,13,1208,8,589,194,629,174,159,1640,436
SLCO4C1,Exp,50,10,4,428,1512,2602,8,2563,1772,1529
SLCO5A1,Exp,1,48,2,0,6751,805,0,799,843,707
SLCO6A1,Exp,7,3,2,11,751,1108,0,698,1452,679
SLF1,Exp,176,476,169,109,1682,1929,209,992,1631,1577
SLF2,Exp,1621,2225,525,275,9590,4206,1046,4977,4343,3412
SLFN11,Exp,5,417,72,14,966,734,518,1032,723,517
SLFN12,Exp,2,38,104,5,354,745,70,928,668,429
SLFN12L,Exp,0,2,6,0,198,528,0,394,846,374
SLFN13,Exp,3,497,15,779,2698,1046,189,5117,788,739
SLFN14,Exp,1,0,0,0,221,528,0,331,793,462
SLFN5,Exp,3148,3132,69,621,2281,1523,1752,868,699,369
SLFNL1,Exp,5,4,2,14,67,54,31,63,733,131
SLIRP,Exp,1358,1502,1553,306,1177,161,849,323,284,144
SLIT1,Exp,2,6,3,0,579,339,20,362,2641,1047
SLIT2,Exp,32,7,8,532,2326,1612,94,1060,2355,2398
SLIT3,Exp,2608,824,1,19,930,3074,113,3975,3375,2153
SLITRK1,Exp,2,0,5,0,640,564,0,446,2256,1134
SLITRK2,Exp,123,2,0,0,92,208,0,12091,456,624
SLITRK3,Exp,0,0,0,0,633,1427,68,1820,1778,1103
SLITRK4,Exp,865,1,0,90,529,507,0,351,538,1845
SLITRK5,Exp,104,1,54,19,2162,335,121,270,1169,1452
SLITRK6,Exp,6791,1271,245,350,1588,978,9,1018,1512,1282
SLK,Exp,2724,4388,1779,486,22441,2435,1988,5079,3587,2990
SLMAP,Exp,2207,2438,1065,862,14591,3199,1187,3731,4465,1807
SLN,Exp,2,0,0,0,14,82,0,74,73,81
SLPI,Exp,1688,787,248,25668,7477,5419,325,268,575,417
SLTM,Exp,4507,3680,1097,1768,22506,4517,1833,8196,4585,6812
SLU7,Exp,5140,2598,823,1122,3013,1372,834,2621,1389,1575
SLURP1,Exp,75,16,0,2,676,102,115,42,412,59
SLX1A,Exp,0,0,0,0,0,0,0,0,0,0
SLX1B,Exp,0,0,0,0,0,0,0,0,0,0
